1640;19.0;
1641;24.0;
1642;15.0;
1643;13.0;
1644;6.0;
1645;9.0;
1646;7.0;
1647;10.0;
1648;-1.0;
1649;-11.0;
1650;-7.0;
1651;0.0;
1652;-3.0;
1653;-4.0;
1654;-6.0;
1655;-1.0;
1656;-3.0;
1657;-4.0;
1658;14.0;
1659;0.0;
1660;-6.0;
1661;17.0;
1662;15.0;
1663;18.0;
1664;-3.0;
1665;-2.0;
1666;-2.0;
1667;6.0;
1668;-10.0;
1669;-19.0;
1670;5.0;
1671;12.0;
1672;4.0;
1673;11.0;
1674;-1.0;
1675;2.0;
1676;6.0;
1677;-4.0;
1678;17.0;
1679;12.0;
1680;14.0;
1681;-18.0;
1682;-8.0;
1683;9.0;
1684;-15.0;
1685;13.0;
1686;-11.0;
1687;-10.0;
1688;-14.0;
1689;-16.0;
1690;-4.0;
1691;-8.0;
1692;7.0;
1693;-8.0;
1694;20.0;
1695;5.0;
1696;25.0;
1697;11.0;
1698;19.0;
1699;-2.0;
1700;20.0;
1701;-9.0;
1702;-8.0;
1703;-5.0;
1704;4.0;
1705;3.0;
1706;-36.0;
1707;-20.0;
1708;-7.0;
1709;10.0;
1710;-14.0;
1711;8.0;
1712;-34.0;
1713;-14.0;
1714;-23.0;
1715;-20.0;
1716;0.0;
1717;3.0;
1718;2.0;
1719;2.0;
1720;4.0;
1721;-31.0;
1722;-16.0;
1723;-23.0;
1724;-31.0;
1725;7.0;
1726;4.0;
1727;15.0;
1728;7.0;
1729;26.0;
1730;4.0;
1731;0.0;
1732;-13.0;
1733;14.0;
1734;23.0;
1735;-13.0;
1736;-29.0;
1737;-2.0;
1738;-28.0;
1739;-10.0;
1740;6.0;
1741;-13.0;
1742;-9.0;
1743;-15.0;
1744;1.0;
1745;4.0;
1746;14.0;
1747;-2.0;
1748;-5.0;
1749;-3.0;
1750;14.0;
1751;13.0;
1752;19.0;
1753;-13.0;
1754;-2.0;
1755;29.0;
1756;-2.0;
1757;20.0;
1758;10.0;
1759;-22.0;
1760;16.0;
1761;36.0;
1762;18.0;
1763;-23.0;
1764;-4.0;
1765;-18.0;
1766;-18.0;
1767;-13.0;
1768;-25.0;
1769;-5.0;
1770;-19.0;
1771;-6.0;
1772;-16.0;
1773;16.0;
1774;-19.0;
1775;-25.0;
1776;-6.0;
1777;-15.0;
1778;6.0;
1779;10.0;
1780;15.0;
1781;2.0;
1782;-20.0;
1783;20.0;
1784;24.0;
1785;2.0;
1786;-14.0;
1787;4.0;
1788;5.0;
1789;-10.0;
1790;-12.0;
1791;-4.0;
1792;-21.0;
1793;-36.0;
1794;-12.0;
1795;-3.0;
1796;-24.0;
1797;-8.0;
1798;-7.0;
1799;-5.0;
1800;-11.0;
1801;-7.0;
1802;-17.0;
1803;-4.0;
1804;3.0;
1805;5.0;
1806;9.0;
1807;6.0;
1808;6.0;
1809;-11.0;
1810;-7.0;
1811;18.0;
1812;22.0;
1813;17.0;
1814;29.0;
1815;29.0;
1816;50.0;
1817;-13.0;
1818;18.0;
1819;7.0;
1820;-10.0;
1821;-1.0;
1822;-1.0;
1823;-6.0;
1824;16.0;
1825;-11.0;
1826;-18.0;
1827;-9.0;
1828;8.0;
1829;2.0;
1830;-19.0;
1831;-23.0;
1832;2.0;
1833;26.0;
1834;-9.0;
1835;-12.0;
1836;21.0;
1837;1.0;
1838;-18.0;
1839;-61.0;
1840;-17.0;
1841;15.0;
1842;-32.0;
1843;-31.0;
1844;-6.0;
1845;1.0;
1846;-8.0;
1847;-3.0;
1848;13.0;
1849;-1.0;
1850;39.0;
1851;28.0;
1852;6.0;
1853;6.0;
1854;7.0;
1855;-8.0;
1856;-1.0;
1857;-3.0;
1858;4.0;
1859;7.0;
1860;-21.0;
1861;-7.0;
1862;8.0;
1863;15.0;
1864;-38.0;
1865;-14.0;
1866;-8.0;
1867;10.0;
1868;5.0;
